City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sao Joao Da Barra,BR,82.4,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
7,Lokoja,NG,81.82,scattered clouds,7.8024,6.742999999999999,Hotel Charvid
8,Road Town,VG,78.8,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
10,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
14,Florianopolis,BR,78.8,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
16,Avarua,CK,77.0,heavy intensity drizzle,-21.2078,-159.775,Paradise Inn
18,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Novotel Dakar
24,Hithadhoo,MV,82.2,broken clouds,-0.6,73.0833,Scoop Guest House
25,Veracruz,MX,79.0,scattered clouds,19.3333,-96.6667,El Carrizal
27,Arraial Do Cabo,BR,78.8,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
28,Rikitea,PF,79.45,clear sky,-23.1203,-134.9692,Pension Maro'i
29,Dzaoudzi,YT,82.4,broken clouds,-12.7887,45.2699,Le Rocher
31,Vaini,TO,78.8,moderate rain,-21.2,-175.2,Keleti Beach Resort
42,Sechura,PE,81.64,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
45,Butaritari,KI,80.65,light rain,3.0707,172.7902,Isles Sunset Lodge
46,Lorengau,PG,83.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
56,Faanui,PF,81.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,San Ignacio,BZ,86.0,few clouds,17.1561,-89.0714,Rainforest Haven Inn
71,Itarema,BR,80.24,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
79,Byron Bay,AU,78.8,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
94,Buritis,BR,77.32,scattered clouds,-15.6178,-46.4233,Hotel Rainha do Vale
95,Georgetown,MY,79.0,light rain,5.4112,100.3354,Cititel Penang
98,Riacho De Santana,BR,81.99,overcast clouds,-13.6092,-42.9389,Apartamento de Kaio.
99,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
100,Puerto Ayora,EC,84.2,clear sky,-0.7393,-90.3518,Castillo Galapagos
106,Banjar,ID,80.6,scattered clouds,-8.19,114.9675,The Hamsa Resort
107,Kapaa,US,78.8,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
111,Poso,ID,78.96,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
113,Guarapari,BR,80.6,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
117,San Patricio,US,80.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
118,Cabedelo,BR,80.6,few clouds,-6.9811,-34.8339,Hotel Pigalle
128,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
129,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Pirineos
132,Bambous Virieux,MU,80.6,scattered clouds,-20.3428,57.7575,Casa Tia Villa
133,Yulara,AU,84.2,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
134,Labuan,MY,78.8,few clouds,5.2767,115.2417,Tiara Labuan Hotel
136,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
137,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
138,Hilo,US,78.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
142,Auki,SB,84.43,broken clouds,-8.7676,160.7034,Auki Motel
145,Altamira,BR,84.2,broken clouds,-3.2033,-52.2064,Requinte Hotel
149,Senador Jose Porfirio,BR,79.27,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
153,Atuona,PF,78.98,scattered clouds,-9.8,-139.0333,Villa Enata
158,Hambantota,LK,76.62,scattered clouds,6.1241,81.1185,Bungalow 63
164,Alugan,PH,78.84,overcast clouds,12.2188,125.4808,JM Lodge
165,Eydhafushi,MV,81.9,scattered clouds,5.1033,73.0708,Soneva Fushi
167,Bundaberg,AU,77.0,clear sky,-24.85,152.35,Takalvan Motel
169,Ambon,ID,77.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
172,Dhidhdhoo,MV,82.17,few clouds,6.8833,73.1,Dhidhoo beach
190,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
194,Batticaloa,LK,77.27,clear sky,7.7102,81.6924,Grand Star Guest House
199,Richards Bay,ZA,77.52,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
210,Alofi,NU,82.4,light rain,-19.0595,-169.9187,Taloa Heights
211,Kavieng,PG,84.02,light rain,-2.5744,150.7967,Nusa Island Retreat
213,Mahibadhoo,MV,81.79,broken clouds,3.7833,72.9667,Omadhoo Inn
218,Guasdualito,VE,81.81,overcast clouds,7.2424,-70.7324,Hotel Cuibas
220,Mahanoro,MG,77.04,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
222,Cayenne,GF,80.6,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
223,Popondetta,PG,77.74,overcast clouds,-8.7537,148.2534,Timos Transit House
228,Quixeramobim,BR,80.26,overcast clouds,-5.1992,-39.2928,Hotel Veredas do Sertão
