City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Karagay,RU,58.2667,54.9368,25.48,94,100,13.47,overcast clouds
1,Atyrau,KZ,47.1167,51.8833,32.0,100,90,4.47,mist
2,Nikolskoye,RU,59.7035,30.7861,24.8,86,90,8.95,overcast clouds
3,Barrow,US,71.2906,-156.7887,-18.4,69,90,8.05,overcast clouds
4,Bluff,NZ,-46.6,168.3333,57.36,78,56,5.37,broken clouds
5,Ushuaia,AR,-54.8,-68.3,55.4,58,75,2.3,broken clouds
6,Imeni Poliny Osipenko,RU,52.4201,136.4853,-26.81,86,69,4.59,broken clouds
7,Kaitangata,NZ,-46.2817,169.8464,55.63,83,100,1.79,overcast clouds
8,Te Anau,NZ,-45.4167,167.7167,55.04,79,100,0.83,overcast clouds
9,Nelson Bay,AU,-32.7167,152.15,70.0,100,75,4.61,broken clouds
10,Provideniya,RU,64.3833,-173.3,-5.6,89,100,24.0,light snow
11,Ayan,RU,56.45,138.1667,-19.19,73,100,13.27,overcast clouds
12,Tecoanapa,MX,16.5167,-98.75,82.65,66,36,10.45,scattered clouds
13,Busselton,AU,-33.65,115.3333,63.0,83,0,1.99,clear sky
14,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,75,75,2.3,broken clouds
15,Longyearbyen,SJ,78.2186,15.6401,-0.4,42,0,14.97,clear sky
16,Tuy Hoa,VN,13.0833,109.3,69.28,87,98,5.97,overcast clouds
17,Schmallenberg,DE,51.15,8.3,33.01,86,100,1.01,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,60.17,64,81,2.21,broken clouds
19,Port Alfred,ZA,-33.5906,26.891,71.01,85,5,5.01,clear sky
20,Avarua,CK,-21.2078,-159.775,80.6,83,75,5.75,broken clouds
21,Stornoway,GB,58.2093,-6.3865,35.6,75,20,6.91,few clouds
22,Kahului,US,20.8947,-156.47,73.4,68,20,16.11,few clouds
23,Victoria,HK,22.2855,114.1577,64.99,79,18,9.86,few clouds
24,Hermanus,ZA,-34.4187,19.2345,64.99,92,100,3.0,light rain
25,Hilo,US,19.7297,-155.09,72.0,78,90,8.05,light rain
26,Rikitea,PF,-23.1203,-134.9692,78.84,64,23,8.9,few clouds
27,East London,ZA,-33.0153,27.9116,75.42,84,22,15.08,few clouds
28,Padang,ID,-0.9492,100.3543,77.25,75,94,5.19,overcast clouds
29,La Ronge,CA,55.1001,-105.2842,15.8,86,89,4.61,overcast clouds
30,Faanui,PF,-16.4833,-151.75,81.21,75,98,10.42,overcast clouds
31,Lebu,CL,-37.6167,-73.65,61.47,74,0,16.04,clear sky
32,Broome,US,42.2506,-75.833,26.01,63,100,3.0,overcast clouds
33,Albany,US,42.6001,-73.9662,19.0,48,100,3.02,overcast clouds
34,Janakkala,FI,60.9,24.6,18.0,100,99,4.41,overcast clouds
35,Vila Franca Do Campo,PT,37.7167,-25.4333,63.0,88,75,14.97,broken clouds
36,Vestmannaeyjar,IS,63.4427,-20.2734,32.0,74,40,21.85,scattered clouds
37,Saint-Georges,GD,12.0564,-61.7485,84.2,70,40,24.16,scattered clouds
38,Aklavik,CA,68.2191,-135.0107,-13.0,77,90,12.66,snow
39,Kapaa,US,22.0752,-159.319,75.0,73,40,16.11,scattered clouds
40,Tapes,BR,-30.6733,-51.3958,79.27,85,100,4.63,overcast clouds
41,Belmonte,BR,-15.8631,-38.8828,82.4,78,75,6.91,broken clouds
42,Dalbandin,PK,28.8947,64.4101,59.14,34,0,7.02,clear sky
43,Hirara,JP,24.8,125.2833,67.6,70,71,17.34,broken clouds
44,Cabo San Lucas,MX,22.8909,-109.9124,78.01,73,90,9.22,overcast clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,58,40,17.27,scattered clouds
46,San Cristobal,VE,7.7669,-72.225,93.2,31,20,16.11,few clouds
47,Ridgecrest,US,35.6225,-117.6709,55.99,40,1,2.44,clear sky
